Ind	Lon	Lat
Bsyl_460	-7.7	52.3
Bsyl_461	-6.3	52.9
Bsyl_462	-9.1	51.9
Bsyl_463	-7.8	53.3
Bsyl_464	-8.2	52.9
Bsyl_465	-7.3	52.9
Bsyl_466	-8.1	51.9
Bsyl_467	-6.1	53.4
Bsyl_468	-0.1	51.5
Bsyl_469	16.3	38.5
Bsyl_470	19.4	43.3
Bsyl_471	14.7	46
Bsyl_472	23.5	46.8
Bsyl_473	12.4	46.1
Bsyl_474	23.7	52.1
Bsyl_475	-1.1	54.2
Bsyl_476	39.1	40.8
Bsyl_477	22	40.6
Bsyl_478	18.4	53.7
Bsyl_479	23.9	52.7
Bsyl_480	19.5	50.2
Bsyl_481	-8.5	39.8
Bsyl_482	-7.3	38.4
Bsyl_483	-9.4	38.8
Bsyl_484	-8	39.3
Bsyl_485	-8.7	37.5
Bsyl_486	-8.2	42.1
Bsyl_487	-7.3	39.4
Bsyl_488	-8.4	40.3
Bsyl_489	-7.1	40.1
Bsyl_490	-8.3	38.9
Bsyl_491	-7.9	37.2
Bsyl_492	-8.2	40.9
Bsyl_493	-8.5	41.3
Bsyl_494	-7.8	39.9
Bsyl_495	-8.9	39.4
Bsyl_496	-7.6	41.8
Bsyl_497	-6.9	41.8
Bsyl_498	42.6	37.8
Bsyl_499	9.9	44.4
Bsyl_500	11.1	42.9
Bsyl_501	10.5	44.2
Bsyl_502	11.8	43
Bsyl_503	11.4	42.4
Bsyl_504	10.2	42.8
Bsyl_505	10.7	43.3
Bsyl_506	11.7	43.7
Bsyl_507	11.3	44.1
Bsyl_508	10.4	43.7
Bsyl_509	14	55.5
Bsyl_510	16.6	59.9
Bsyl_511	17.8	59.6
Bsyl_512	14	56
Bsyl_513	15.9	58.6
Bsyl_514	-4	38.4
Bsyl_515	-3.9	41.1
Bsyl_516	-5.5	34.1
Bsyl_517	-5.3	39
Bsyl_518	-7.6	40.7
Bsyl_519	22.1	37.4
Bsyl_520	-5.9	42.9
Bsyl_521	-4.5	41.1
Bsyl_522	-6.1	41.8
Bsyl_523	-4.5	43.3
Bsyl_524	-5.1	40.3
Bsyl_525	11.7	58.1
Bsyl_526	16.2	57
Bsyl_527	17.7	58.9
Bsyl_528	18.2	56.9
Bsyl_529	5.5	51.4
Bsyl_530	3.6	49.9
Bsyl_531	-2.2	48.6
Bsyl_532	-0.8	49.4
