Ind	Lat	Lon	Bio1	Bio2	Bio3	Bio4	Bio5	Bio6	Bio7	Bio8	Bio9	Bio10	Bio11	Bio12	Bio13	Bio14	Bio15	Bio16	Bio17	Bio18	Bio19
Bsyl501-6	7.036268	43.664392	14.23466682	7.873333454	33.90171051	559.3049927	26.70400047	3.480000019	23.22400093	11.41600037	21.34199905	21.38666725	7.902666569	847	133	17	43.48180008	325	97	129	248
Bsyl501-7	7.036268	43.664392	14.23466682	7.873333454	33.90171051	559.3049927	26.70400047	3.480000019	23.22400093	11.41600037	21.34199905	21.38666725	7.902666569	847	133	17	43.48180008	325	97	129	248
Bsyl502-2	6.369455	43.367684	14.48116684	9.225000381	37.07201385	569.8545532	28.28000069	3.395999908	24.88400078	11.59266663	21.76599884	21.76599884	7.988666534	753	106	12	39.59954834	275	91	91	230
Bsyl502-3	6.369455	43.367684	14.48116684	9.225000381	37.07201385	569.8545532	28.28000069	3.395999908	24.88400078	11.59266663	21.76599884	21.76599884	7.988666534	753	106	12	39.59954834	275	91	91	230
Bsyl502-4	6.369455	43.367684	14.48116684	9.225000381	37.07201385	569.8545532	28.28000069	3.395999908	24.88400078	11.59266663	21.76599884	21.76599884	7.988666534	753	106	12	39.59954834	275	91	91	230
Bsyl502-5	6.369455	43.367684	14.48116684	9.225000381	37.07201385	569.8545532	28.28000069	3.395999908	24.88400078	11.59266663	21.76599884	21.76599884	7.988666534	753	106	12	39.59954834	275	91	91	230
Bsyl505-2	3.643922	43.802619	13.22733307	8.356666565	34.05324554	592.0894165	27.00399971	2.463999987	24.53999901	9.92666626	20.84466743	20.84466743	6.481999874	688	99	24	31.68021965	227	109	109	191
Bsyl505-4	3.643922	43.802619	13.22733307	8.356666565	34.05324554	592.0894165	27.00399971	2.463999987	24.53999901	9.92666626	20.84466743	20.84466743	6.481999874	688	99	24	31.68021965	227	109	109	191
Bsyl505-6	3.643922	43.802619	13.22733307	8.356666565	34.05324554	592.0894165	27.00399971	2.463999987	24.53999901	9.92666626	20.84466743	20.84466743	6.481999874	688	99	24	31.68021965	227	109	109	191
Bsyl506-2	3.544208	43.711665	13.58583355	8.228333473	33.84473801	588.4425659	27.20800018	2.895999908	24.31200027	10.33799934	21.15600014	21.15600014	6.894000053	662	95	22	32.08192825	220	103	103	187
Bsyl506-3	3.544208	43.711665	13.58583355	8.228333473	33.84473801	588.4425659	27.20800018	2.895999908	24.31200027	10.33799934	21.15600014	21.15600014	6.894000053	662	95	22	32.08192825	220	103	103	187
Bsyl506-6	3.544208	43.711665	13.58583355	8.228333473	33.84473801	588.4425659	27.20800018	2.895999908	24.31200027	10.33799934	21.15600014	21.15600014	6.894000053	662	95	22	32.08192825	220	103	103	187
Bsyl508-2	2.855819	43.041336	13.9173336	7.990666389	33.90472794	566.4158936	27.03199959	3.463999987	23.56799889	10.9260006	21.19933319	21.19933319	7.487333298	615	80	17	31.23702812	203	91	91	182
Bsyl508-3	2.855819	43.041336	13.9173336	7.990666389	33.90472794	566.4158936	27.03199959	3.463999987	23.56799889	10.9260006	21.19933319	21.19933319	7.487333298	615	80	17	31.23702812	203	91	91	182
Bsyl508-6	2.855819	43.041336	13.9173336	7.990666389	33.90472794	566.4158936	27.03199959	3.463999987	23.56799889	10.9260006	21.19933319	21.19933319	7.487333298	615	80	17	31.23702812	203	91	91	182
Bsyl54-3	-5.010414	35.01928	12.94383335	11.66033363	39.18122864	628.6559448	30.16399956	0.404000014	29.76000023	6.431999683	21.0739994	21.0739994	5.677999973	960	166	1	78.64498138	479	16	16	403
Bsyl54-9	-5.010414	35.01928	12.94383335	11.66033363	39.18122864	628.6559448	30.16399956	0.404000014	29.76000023	6.431999683	21.0739994	21.0739994	5.677999973	960	166	1	78.64498138	479	16	16	403
Bsyl550-10	-6.176246	40.504151	9.286166191	7.753000259	33.47581863	567.4821777	22.99600029	-0.164000005	23.15999985	4.257333279	16.95599937	16.95599937	3.265333414	1289	194	18	54.36843109	524	90	90	519
Bsyl550-1B	-6.176246	40.504151	9.286166191	7.753000259	33.47581863	567.4821777	22.99600029	-0.164000005	23.15999985	4.257333279	16.95599937	16.95599937	3.265333414	1289	194	18	54.36843109	524	90	90	519
Bsyl550-3B	-6.176246	40.504151	9.286166191	7.753000259	33.47581863	567.4821777	22.99600029	-0.164000005	23.15999985	4.257333279	16.95599937	16.95599937	3.265333414	1289	194	18	54.36843109	524	90	90	519
Bsyl550-8b	-6.176246	40.504151	9.286166191	7.753000259	33.47581863	567.4821777	22.99600029	-0.164000005	23.15999985	4.257333279	16.95599937	16.95599937	3.265333414	1289	194	18	54.36843109	524	90	90	519
Bsyl552-1	-5.6275	36.149722	17.24666595	7.942667007	38.11260605	454.3765259	28.76399994	7.923999786	20.84000015	13.14400005	22.79533386	23.23133278	12.05800056	891	146	0	77.33452606	419	16	23	409
Bsyl552-2	-5.6275	36.149722	17.24666595	7.942667007	38.11260605	454.3765259	28.76399994	7.923999786	20.84000015	13.14400005	22.79533386	23.23133278	12.05800056	891	146	0	77.33452606	419	16	23	409
Bsyl552-5	-5.6275	36.149722	17.24666595	7.942667007	38.11260605	454.3765259	28.76399994	7.923999786	20.84000015	13.14400005	22.79533386	23.23133278	12.05800056	891	146	0	77.33452606	419	16	23	409
Bsyl553-2B	-4.6051558	36.718258	17.63516617	10.59899998	43.24004364	508.6770935	31.16399956	6.65199995	24.51199913	12.80933285	24.02000046	24.33466721	11.94199944	560	102	1	73.96857452	285	18	23	252
Bsyl553-3b	-4.6051558	36.718258	17.63516617	10.59899998	43.24004364	508.6770935	31.16399956	6.65199995	24.51199913	12.80933285	24.02000046	24.33466721	11.94199944	560	102	1	73.96857452	285	18	23	252
Bsyl553-5b	-4.6051558	36.718258	17.63516617	10.59899998	43.24004364	508.6770935	31.16399956	6.65199995	24.51199913	12.80933285	24.02000046	24.33466721	11.94199944	560	102	1	73.96857452	285	18	23	252
Bsyl554-1	-4.06361111	36.8913889	12.14266682	11.92266655	39.88581085	631.6286621	29.81999969	-0.071999997	29.8920002	6.165333271	20.43000031	20.4406662	5.194666862	678	93	5	57.95862961	273	35	37	267
Bsyl554-3B	-4.06361111	36.8913889	12.14266682	11.92266655	39.88581085	631.6286621	29.81999969	-0.071999997	29.8920002	6.165333271	20.43000031	20.4406662	5.194666862	678	93	5	57.95862961	273	35	37	267
Bsyl554-6	-4.06361111	36.8913889	12.14266682	11.92266655	39.88581085	631.6286621	29.81999969	-0.071999997	29.8920002	6.165333271	20.43000031	20.4406662	5.194666862	678	93	5	57.95862961	273	35	37	267
Bsyl554-7	-4.06361111	36.8913889	12.14266682	11.92266655	39.88581085	631.6286621	29.81999969	-0.071999997	29.8920002	6.165333271	20.43000031	20.4406662	5.194666862	678	93	5	57.95862961	273	35	37	267
Bsyl555-1	-3.448333334	37.1302778	11.52616692	12.6196661	39.10407257	686.718811	30.60400009	-1.667999983	32.27199936	4.843333244	20.42200089	20.53266716	3.822000027	552	74	6	52.31384277	212	36	37	206
Bsyl555-3B	-3.448333334	37.1302778	11.52616692	12.6196661	39.10407257	686.718811	30.60400009	-1.667999983	32.27199936	4.843333244	20.42200089	20.53266716	3.822000027	552	74	6	52.31384277	212	36	37	206
Bsyl555-5	-3.448333334	37.1302778	11.52616692	12.6196661	39.10407257	686.718811	30.60400009	-1.667999983	32.27199936	4.843333244	20.42200089	20.53266716	3.822000027	552	74	6	52.31384277	212	36	37	206
Bsyl555-8	-3.448333334	37.1302778	11.52616692	12.6196661	39.10407257	686.718811	30.60400009	-1.667999983	32.27199936	4.843333244	20.42200089	20.53266716	3.822000027	552	74	6	52.31384277	212	36	37	206
Bsyl557-2	2.743549	42.38853	11.53016663	8.188333511	34.89743042	553.2103271	24.41200066	0.948000014	23.4640007	12.37866688	18.64533234	18.68333435	5.409999847	804	93	37	21.12553215	240	159	170	194
Bsyl557-3	2.743549	42.38853	11.53016663	8.188333511	34.89743042	553.2103271	24.41200066	0.948000014	23.4640007	12.37866688	18.64533234	18.68333435	5.409999847	804	93	37	21.12553215	240	159	170	194
Bsyl557-7	2.743549	42.38853	11.53016663	8.188333511	34.89743042	553.2103271	24.41200066	0.948000014	23.4640007	12.37866688	18.64533234	18.68333435	5.409999847	804	93	37	21.12553215	240	159	170	194
Bsyl557-8	2.743549	42.38853	11.53016663	8.188333511	34.89743042	553.2103271	24.41200066	0.948000014	23.4640007	12.37866688	18.64533234	18.68333435	5.409999847	804	93	37	21.12553215	240	159	170	194
Bsyl59-1	-4.6848393	33.5317823	12.44066715	12.6886673	40.06272507	670.9847412	30.33600044	-1.335999966	31.67200089	11.08599949	20.96800041	20.9746666	4.561333179	239	34	6	39.86743164	91	34	35	49
Bsyl59-2	-4.6848393	33.5317823	12.44066715	12.6886673	40.06272507	670.9847412	30.33600044	-1.335999966	31.67200089	11.08599949	20.96800041	20.9746666	4.561333179	239	34	6	39.86743164	91	34	35	49
Bsyl59-4	-4.6848393	33.5317823	12.44066715	12.6886673	40.06272507	670.9847412	30.33600044	-1.335999966	31.67200089	11.08599949	20.96800041	20.9746666	4.561333179	239	34	6	39.86743164	91	34	35	49
Bsyl59-5	-4.6848393	33.5317823	12.44066715	12.6886673	40.06272507	670.9847412	30.33600044	-1.335999966	31.67200089	11.08599949	20.96800041	20.9746666	4.561333179	239	34	6	39.86743164	91	34	35	49
Bsyl62-8	-5.1688965	33.5177688	12.15799999	12.08933353	39.61118317	644.7269287	29.52000046	-1	30.52000046	7.757333279	20.33866692	20.58133316	4.72266674	384	50	5	45.90229416	140	33	33	114
Bsyl63-2A	-5.524578	34.0571343	16.65283394	12.01966667	42.00331116	572.3625488	32.88399887	4.268000126	28.61599922	10.10200024	23.73999977	24.28133392	10.10200024	593	87	1	66.32281494	244	16	17	244
Bsyl63-2B	-5.524578	34.0571343	16.65283394	12.01966667	42.00331116	572.3625488	32.88399887	4.268000126	28.61599922	10.10200024	23.73999977	24.28133392	10.10200024	593	87	1	66.32281494	244	16	17	244
Bsyl63-4	-5.524578	34.0571343	16.65283394	12.01966667	42.00331116	572.3625488	32.88399887	4.268000126	28.61599922	10.10200024	23.73999977	24.28133392	10.10200024	593	87	1	66.32281494	244	16	17	244
Bsyl63-5	-5.524578	34.0571343	16.65283394	12.01966667	42.00331116	572.3625488	32.88399887	4.268000126	28.61599922	10.10200024	23.73999977	24.28133392	10.10200024	593	87	1	66.32281494	244	16	17	244
Bsyl72-1	0.0145551	52.2405054	9.78266716	7.990666866	37.80595779	487.3024597	21.92399979	0.787999988	21.13599968	10.49666691	5.987999916	15.94400024	4.207333565	569	54	35	11.66569901	158	123	145	134
Bsyl72-3	0.0145551	52.2405054	9.78266716	7.990666866	37.80595779	487.3024597	21.92399979	0.787999988	21.13599968	10.49666691	5.987999916	15.94400024	4.207333565	569	54	35	11.66569901	158	123	145	134
Bsyl72-4	0.0145551	52.2405054	9.78266716	7.990666866	37.80595779	487.3024597	21.92399979	0.787999988	21.13599968	10.49666691	5.987999916	15.94400024	4.207333565	569	54	35	11.66569901	158	123	145	134
Bsyl73-1	1.1336607	52.1917674	9.55300045	7.77733326	37.1907692	483.8927917	21.71199989	0.800000012	20.91200066	7.229333401	5.697999954	15.70266724	4.067333221	598	62	38	15.07159615	176	122	155	147
Bsyl73-3	1.1336607	52.1917674	9.55300045	7.77733326	37.1907692	483.8927917	21.71199989	0.800000012	20.91200066	7.229333401	5.697999954	15.70266724	4.067333221	598	62	38	15.07159615	176	122	155	147
Bsyl73-4	1.1336607	52.1917674	9.55300045	7.77733326	37.1907692	483.8927917	21.71199989	0.800000012	20.91200066	7.229333401	5.697999954	15.70266724	4.067333221	598	62	38	15.07159615	176	122	155	147
